Vendor Name,Primary Contact,Category,Aluminum Framing,Glass Monolithic,Glass IGU,Glass Fire-Rated,Glass Specialty,Door Hardware,All-Glass Hardware,Sealants,Anchors,Metal Panels,Paint Finishing,Lead Time,Phone,Email,Notes,Catalog Path
Vitrum,Roshain,Glass Manufacturer,No,Yes,Yes,No,No,No,No,No,No,No,No,4-8 weeks,,,Premium quality IGUs - Gold Standard,Catalogs/Vitrum/
Hartung,Ali,Glass Manufacturer,No,Yes,Yes,No,No,No,No,No,No,No,No,4-8 weeks,,,American company - good quality affordable,Catalogs/Hartung/
Tacoma Glass,Carrie,Glass Manufacturer,No,Yes,No,No,No,No,No,No,No,No,No,2-3 days,,,Fast turnaround monolithic glass,Catalogs/TacomaGlass/
General Glass,Kaylee,Glass Manufacturer,No,Yes,Yes,No,No,No,No,No,No,No,No,Standard,,,General fabrication,Catalogs/GeneralGlass/
TGP Allegiant,Alaina Fox,Specialty Glass,No,No,No,Yes,Yes,No,No,No,No,No,No,16 weeks,,,Fire-rated glass ONLY SOURCE,Catalogs/TGP_Allegiant/
GlassPro,Jim Tarman,Glass Manufacturer,No,Yes,Yes,No,Yes,No,No,No,No,No,No,2 weeks,,,Luxury high-end specialty glass,Catalogs/GlassPro/
IML,Mike Fender,Door Hardware,No,No,No,No,No,Yes,No,No,No,No,No,8 weeks,,,Door hardware panic devices closers,Catalogs/IML/
Mayflower,Anatoly,Door Hardware,No,No,No,No,No,Yes,No,No,No,No,No,1 week,,,Quick-turn hardware,Catalogs/Mayflower/
FHC,,,No,No,No,No,No,No,Yes,No,No,No,No,Standard,,,Frameless/all-glass door hardware specialty,Catalogs/FHC/
CRL,,,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Off-shelf,,,CR Laurence - large catalog readily available,Catalogs/CRL/
Coast Aluminum,Melissa,Raw Aluminum,Yes,No,No,No,No,No,No,No,No,No,No,1 week,,,Raw aluminum stock,Catalogs/CoastAluminum/
Kawneer,Skyler,Curtain Wall Systems,Yes,No,No,No,No,No,No,No,No,No,No,12 weeks,,,Storefront curtain wall metal systems,Catalogs/Kawneer/
Oldcastle,,Storefront/Glass,Yes,Yes,Yes,No,No,No,No,No,No,No,No,8-12 weeks,,,Storefront material some IGU supply,Catalogs/Oldcastle/
North Clad,TJ,Metal Panel Fabricator,No,No,No,No,No,No,No,No,No,Yes,No,12 weeks,,,High quality metal panel fabrication,Catalogs/NorthClad/
ABF,Brent Hammer,Metal Panel Fabricator,No,No,No,No,No,No,No,No,No,Yes,No,8-12 weeks,,,Aluminum Bronze Fabricators - high quality,Catalogs/ABF/
New Finishes,TJ,Paint Shop,No,No,No,No,No,No,No,No,No,No,Yes,,,,High-end custom painting premium,Catalogs/NewFinishes/
Accurate Industries,Elizabeth,Paint Shop,No,No,No,No,No,No,No,No,No,No,Yes,,,,Auburn paint shop,Catalogs/AccurateIndustries/
Colorado Steel & Sash,Jeremiah,Accessories,No,No,No,No,No,No,No,Yes,No,No,No,Off-shelf,,,GE sealants shims accessories,Catalogs/ColoradoSteel/
Atlas Supply,Evan Moran,Sealants,No,No,No,No,No,No,No,Yes,No,No,No,Off-shelf,,,Dow Corning sealants,Catalogs/AtlasSupply/
Hilti,,Anchors,No,No,No,No,No,No,No,No,Yes,No,No,Off-shelf,,,Concrete anchors fasteners,Catalogs/Hilti/
Tacoma Screw,,Hardware & Fasteners,No,No,No,No,No,No,No,No,Yes,No,No,Off-shelf,,,Hardware fasteners off-the-shelf,Catalogs/TacomaScrew/
AD Systems,,Hospital Doors,No,No,No,No,Yes,No,No,No,No,No,No,16 weeks,,,Alpha Delta hospital door systems,Catalogs/ADSystems/
Nanawall,,Folding Door Systems,No,No,No,No,Yes,No,No,No,No,No,No,Standard,,,Custom folding doors,Catalogs/Nanawall/
Garibaldi Glass,,Glass Fabricator,No,Yes,Yes,No,No,No,No,No,No,No,No,Standard,,,Regional fabricator,Catalogs/GaribaldiGlass/
Glass Fab,,Glass Fabricator,No,Yes,Yes,No,No,No,No,No,No,No,No,Standard,,,Regional fabricator,Catalogs/GlassFab/
